Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
NA,Myiarchus tyrannulus,Brown-crested Flycatcher,Copetón Crestipardo (Tontillo),NA,NA,NA
NA,Pitangus sulphuratus,Great Kiskadee,"Bienteveo Grande (Cristo Fue, Pecho Amarillo)",NA,NA,NA
NA,Megarynchus pitangua,Boat-billed Flycatcher,Mosquerón Picudo (Pecho Amarillo),2,NA,2
NA,Myiozetetes similis,Social Flycatcher,Mosquero Cejiblanco (Pecho Amarillo),6,NA,6
NA,Myiodynastes maculatus,Streaked Flycatcher,Mosquero Listado (Pecho Amarillo),NA,NA,NA
NA,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Mosquero Vientriazufrado (Pecho Amarillo),NA,NA,NA
NA,Legatus leucophaius,Piratic Flycatcher,Mosquero Pirata (Pecho Amarillo),NA,NA,NA
NA,Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical (Pecho Amarillo),NA,NA,NA
NA,Tyrannus verticalis,Western Kingbird,Tirano Occidental (Pecho Amarillo),2,NA,2
NA,Tyrannus forficatus,Scissor-tailed Flycatcher,Tijereta Rosada (Tijerilla),NA,NA,NA
NA,Contopus cooperi,Olive-sided Flycatcher,Pibí Boreal (Tontillo),NA,NA,NA
NA,Contopus lugubris,Dark Pewee,Pibí Sombrío (Tontillo),NA,NA,NA
NA,Contopus sordidulus,Western Wood-Pewee,"Pibí Occidental (Tontillo, Piguí)",NA,NA,NA
NA,Contopus virens,Eastern Wood-Pewee,"Pibí Oriental (Tontillo, Piguí)",2,NA,2
NA,Contopus cinereus,Tropical Pewee,"Pibí Tropical (Tontillo, Piguí)",1,NA,1
NA,Empidonax flaviventris,Yellow-bellied Flycatcher,Mosquerito Vientriamarillo,NA,NA,1
NA,Empidonax virescens,Acadian Flycatcher,Mosquerito Verdoso,NA,NA,NA
NA,Empidonax alnorum,Alder Flycatcher,Mosquerito de Charral,NA,NA,NA
NA,Empidonax traillii,Willow Flycatcher,Mosquerito de Traill,NA,NA,NA
Thamnophilidae,NA,NA,NA,NA,NA,NA
NA,Thamnophilus doliatus,Barred Antshrike,Batará Barreteado,NA,NA,7
NA,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,NA,NA,NA
Furnariidae,NA,NA,NA,NA,NA,NA
NA,Sittasomus griseicapillus,Olivaceous Woodcreeper,Trepadorcito Aceitunado,NA,NA,NA
NA,Dendrocincla homochroa,Ruddy Woodcreeper,Trepador Rojizo,NA,NA,2
NA,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Trepador Barreteado,NA,NA,NA
NA,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Trepador Piquiclaro,NA,NA,NA
NA,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Trepador Cabecirrayado,NA,NA,3
NA,Xenops minutus,Plain Xenops,Xenops Común,NA,NA,NA
